meter_id,transformer_id,customer_class,barangay_id,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
M3000034,TX_Paco_9,Residential,4,14.58008775,120.9948882,264.34,277.53,241.12,247.37,266.7,310.5,277.18,235.2,186.91,194.59,209.62,202.99,10
M3000035,TX_Paco_8,Commercial,4,14.57998314,120.9974923,1837.39,2189.12,1990.18,1763.42,2172.24,2306.79,2662.16,1973.65,1601.84,1889.76,2003.23,1589.61,75
M3000036,TX_Paco_9,Residential,4,14.57815794,120.9997971,494.2,514.27,418.11,533.3,630.91,545.6,627.64,424.04,413.04,396.96,437.87,404.44,5
M3000037,TX_Paco_6,Residential,4,14.58100148,120.9967358,286.17,382.48,394.04,344.77,414.64,479.17,427.12,303.17,329.48,286.88,288.71,376.63,5
M3000038,TX_Paco_1,Residential,4,14.57954596,120.9974913,189.19,208.56,148.42,194.31,178.86,150.82,202.67,81.66,162.01,197.39,147.07,146.95,15
M3000039,TX_Paco_1,Commercial,4,14.57977005,120.9961746,1650.66,1726.04,2117.96,2070.46,2376.67,2123.98,2113.16,1914.92,1878.83,1656.97,1814.31,2014.52,50
M3000040,TX_Pandacan_5,Residential,5,14.59160316,121.0047221,432.3,409.59,479.19,535.61,600.04,450.45,576.36,384.71,349.71,377.75,380.86,426.51,5
M3000041,TX_Pandacan_6,Residential,5,14.59453162,121.0077378,360.18,373.28,393.65,364.52,380.53,378.59,390.2,290.15,326.88,294.45,279.32,339.06,5
M3000042,TX_Pandacan_5,Residential,5,14.59295689,121.0084949,32.21,71,50.79,24.09,60.3,77.43,81.5,20.94,23.76,49.11,19.85,20.11,5
M3000043,TX_Pandacan_1,Industrial,5,14.59321722,121.0046469,9798.25,10918.74,11421.75,9312.64,13289.9,10156.39,13403.03,9850.08,9323.04,9522.45,7755.02,8075.51,300
M3000044,TX_Pandacan_7,Residential,5,14.59391759,121.0062751,144.85,130.11,227.26,147.35,179.89,171.94,215.46,187.39,221.17,171.37,193.77,109.02,15
M3000045,TX_Pandacan_9,Residential,5,14.59513592,121.0085027,251.58,286.73,268.11,264.33,288.29,293.67,331.28,230,209.17,213.36,230.18,284.02,5
M3000046,TX_Pandacan_1,Residential,5,14.59333954,121.0086816,477.65,455.88,454.36,512.76,602.03,654.17,561.09,471.36,386.42,487.7,454.09,477.43,10
M3000047,TX_Pandacan_10,Residential,5,14.59374292,121.0071705,490.04,439.55,446.18,548.59,488.77,497.97,535.75,428.32,430.1,391.08,469.74,493.74,5
M3000048,TX_Pandacan_3,Residential,5,14.59147364,121.0088364,476.93,598.45,569.45,574.5,650.19,738.27,577.52,543.49,551.32,567.54,493.85,527.35,5
M3000049,TX_Pandacan_9,Industrial,5,14.59422354,121.0104302,10137.78,14271.59,13059.62,13170.87,16934.76,13912.53,16041.89,11558.08,11985.46,11025.78,10555.7,12064.12,500
M3000050,TX_Port Area_5,Industrial,6,14.58925078,120.9662837,9906.28,12306.33,12165.62,9980.49,13521.95,11775.08,10609.33,9463.67,10577.59,10569.99,8216.37,10532.9,200
M3000051,TX_Port Area_7,Residential,6,14.5877654,120.9688972,377.7,425.56,512.43,445.09,530.58,510.87,498.23,360.36,414.94,418.72,366.45,449.54,5
M3000052,TX_Port Area_2,Commercial,6,14.59035142,120.9640841,560.37,675.38,627.25,994.95,634.4,942.43,1374.61,662.26,917.18,412.58,830.06,824.88,25
M3000053,TX_Port Area_7,Residential,6,14.58485565,120.9696235,323.44,359.63,331.92,321.14,388.43,377.04,418.1,251.69,273.25,312.31,312.02,291.69,10
M3000054,TX_Port Area_4,Commercial,6,14.58873515,120.9676696,1188.55,1309.71,1242.66,1185.69,1716.81,1347.25,1446.82,1083.73,1277.63,1120.06,1021.29,1033.68,75
M3000055,TX_Port Area_3,Residential,6,14.58963651,120.9668429,440.87,399.17,464.71,426.3,537.58,542.39,583.28,384.06,399.13,367.23,369.4,358.87,5
M3000056,TX_Port Area_5,Residential,6,14.58706114,120.9669594,350.44,478.67,388.74,411.82,431.28,486.24,453.32,364.44,335.41,316.67,396.25,401.15,10
M3000057,TX_Port Area_10,Commercial,6,14.59117349,120.9662079,1764.19,2186.03,2268.62,1959.15,2251.76,2269.69,2609.58,1861.95,1627,1593.92,1617.88,1721.48,50
M3000058,TX_Port Area_9,Residential,6,14.58594693,120.9640869,244.25,270.21,274.31,340.11,367.74,305.24,339.63,249.12,273.09,268.67,265.33,265.26,5
M3000059,TX_Port Area_9,Residential,6,14.59058894,120.9674235,515.78,602.51,491.88,569.85,523.04,627.47,576.69,495.82,508.82,440.2,462.33,427.53,15
M3000060,TX_Quiapo_5,Residential,7,14.60092502,120.9845929,487.12,538.98,521.89,433.09,597.01,508.56,614.18,440.26,449.73,362.7,424.56,478.1,15
M3000061,TX_Quiapo_9,Residential,7,14.59544088,120.9815072,360.73,454.72,391.09,423.46,505.46,519.07,587.18,446.97,343.39,394.94,427.62,378.69,5
M3000062,TX_Quiapo_8,Residential,7,14.59914333,120.9843933,452.81,564.81,490.68,480.84,592.81,678.17,644.03,479.43,442.06,423.21,496.4,481.71,10
M3000063,TX_Quiapo_4,Residential,7,14.59834234,120.9850696,144.63,193.09,181.38,183.94,184.91,206.92,203.7,133.99,169.15,141.81,140.71,149.98,10
M3000064,TX_Quiapo_5,Commercial,7,14.59724333,120.9868554,1491.49,1492.12,1225.84,1402.87,1604.57,1787.27,1539.95,1180.09,1082.86,1162.31,1323.94,1361.35,100
M3000065,TX_Quiapo_6,Residential,7,14.59825772,120.9830034,471.1,559.41,620.97,657.07,741.01,730.87,585.78,557.71,552.35,477.72,480.34,515.86,15
M3000066,TX_Quiapo_5,Commercial,7,14.59833034,120.982356,1164.31,1273.18,1277.76,1220.01,1140.91,1269.39,1150.38,1126.8,933.75,1008.15,1065.37,1165.28,50
M3000067,TX_Quiapo_9,Residential,7,14.59893558,120.981398,554.96,519.42,678.44,600.61,760.42,758.02,749.57,451.91,480.89,579,582.66,540.87,15
M3000068,TX_Quiapo_10,Industrial,7,14.59778987,120.9818768,7194.7,8224.28,6819.92,8353.98,7953.14,8693.27,9647.05,6014.25,6110.54,5754.63,5921.23,6232.69,300
M3000069,TX_Quiapo_5,Residential,7,14.5958718,120.9834496,190.49,244.65,240.62,260.49,221.8,279.15,260.07,221.15,201.82,194.15,207.13,228.48,15
M3000070,TX_Sampaloc_9,Residential,8,14.60306932,120.9930045,498.85,567.27,524.42,496.98,537.75,544.99,540.59,409.55,457.56,443.69,393.66,519.18,5
M3000071,TX_Sampaloc_1,Residential,8,14.6015093,120.9919947,449.44,571.45,521.79,579.31,582.39,688.16,584.21,540.15,535.97,463.56,466.96,539.74,15
M3000072,TX_Sampaloc_7,Residential,8,14.60464491,120.9933509,490.72,646.48,486.1,613.23,734.94,613.71,673.53,499.25,528.55,543.94,505.25,564.79,5
M3000073,TX_Sampaloc_5,Residential,8,14.60514531,120.9950762,321.61,423.52,419.43,456.71,469.6,492.84,420.7,327.12,386.6,369.92,359.62,335.01,15
M3000074,TX_Sampaloc_10,Residential,8,14.60289301,120.9956159,444.27,502.67,589,582.35,571.45,698.56,564.25,538.31,502.34,453.76,416.88,466.98,5
M3000075,TX_Sampaloc_8,Residential,8,14.60383061,120.9941664,260.38,253.57,297.13,289.62,345.59,276.15,289.62,216.09,218.7,212.37,245.57,260.88,15
M3000076,TX_Sampaloc_8,Commercial,8,14.60755118,120.9955361,3434.4,3215.14,3423.32,3271.17,3986.33,4230.48,3525.28,3113.29,2973.47,2654.09,3094.9,2925.63,25
M3000077,TX_Sampaloc_6,Residential,8,14.60452013,120.9958969,647.54,645.45,649.42,598.52,719.87,825.58,777.56,472.25,489.62,623.62,611.16,579.98,10
M3000078,TX_Sampaloc_7,Commercial,8,14.60769729,120.9941955,414.21,730.85,628.93,843.66,824.29,864.65,596.18,776.36,854.49,354.73,240.45,874.77,50
M3000079,TX_Sampaloc_5,Residential,8,14.60053347,120.9915783,173.71,195.73,202.46,173.43,201.64,213.78,234.26,189.27,185,178.72,169.8,204.93,15
M3000080,TX_San Andres_9,Residential,9,14.56538035,120.9948588,226.83,247.32,284.42,296.1,306.03,341.17,280.25,271.59,268.59,281.02,277.41,247.06,15
M3000081,TX_San Andres_5,Industrial,9,14.56853618,120.9953926,5612.88,4958.77,6615.67,5309.13,6906.58,6454.04,5713.31,4961.25,5028.16,5535.35,5351.73,4601.66,200
M3000082,TX_San Andres_4,Residential,9,14.56578487,120.9961776,409.26,442.77,463.79,383.94,513.29,531.54,429.97,345.84,413.62,393.03,338.85,388.9,10
M3000083,TX_San Andres_1,Commercial,9,14.5687748,120.9950659,2794.69,2478.26,3031.79,2560.75,3072.52,3519.27,3098.12,2170.21,2143.57,2367.8,2575.26,2887.6,75
M3000084,TX_San Andres_9,Residential,9,14.5666717,120.9988625,62.11,61.69,66.67,32.01,83.09,83.29,30.41,26.35,37.83,24.25,89.39,36.03,10
M3000085,TX_San Andres_3,Residential,9,14.56601076,120.9976907,414.44,464.15,374.43,437.06,507.12,487.72,439.05,401.53,423.86,420.74,399.53,378.69,10
M3000086,TX_San Andres_6,Residential,9,14.56639383,120.9984207,322.36,368.88,362.32,357.2,427.04,394.67,400.69,324.22,241.31,294.59,303.5,335.47,10
M3000087,TX_San Andres_6,Residential,9,14.5692916,120.9998694,157.05,167.16,167.98,165.38,217.99,185.53,214.42,165.02,147.2,144.88,158.75,164.64,5
M3000088,TX_San Andres_10,Residential,9,14.56351289,120.9953084,278.88,334.77,311.02,332.31,363.31,357.66,326.14,241.06,280.86,285.37,250.76,228.37,15
M3000089,TX_San Andres_9,Residential,9,14.56716005,121.0003032,568.55,618.36,578.97,581.67,764.47,691.28,631.15,468.63,529.2,527.92,558.09,556.74,10
M3000090,TX_San Miguel_8,Commercial,10,14.60047119,120.998257,372.59,237.51,420.22,402.96,222.47,568.41,383.44,186.09,311.24,163.74,393.44,314.02,50
M3000091,TX_San Miguel_5,Residential,10,14.6010945,120.9969219,201.47,252.21,255.43,220.15,266.8,264.94,258.39,204.79,186.68,226.64,248.55,237.37,10
M3000092,TX_San Miguel_2,Residential,10,14.60353619,120.9976248,389.2,516.02,520.33,559.62,586.06,584.98,556.39,467.45,483.73,456.23,435.19,387.17,10
M3000093,TX_San Miguel_7,Commercial,10,14.60019293,120.9983077,1487.14,693.15,1442.15,1308.67,866.95,1419.49,1228.84,1245.6,721.37,1263.78,762.65,761.1,100
M3000094,TX_San Miguel_5,Commercial,10,14.59737223,120.9976574,2373.74,2761.2,2929.65,3199.11,3194.6,3175,3352.75,2351.85,2644.87,2301.08,2730.01,2440.78,100
M3000095,TX_San Miguel_9,Residential,10,14.59677331,121.0028233,278.22,261.06,263.54,251.78,358.27,290.62,290.87,271.04,267.95,221.17,265.36,232.88,15
M3000096,TX_San Miguel_8,Residential,10,14.59968823,121.0009688,216.62,225.81,197.55,211.52,250.3,272.93,214.8,193.5,200.29,215,205.37,184.65,15
M3000097,TX_San Miguel_3,Residential,10,14.59903284,121.0023769,366.34,309.1,344.89,370.38,352.03,384.24,456.25,263.14,329.4,337.64,285.79,294.8,10
M3000098,TX_San Miguel_2,Commercial,10,14.59979204,120.9967649,1724.87,2151.69,1849.64,2111.97,2257.24,1908.96,2311.35,1646.5,1501.61,1533.26,1664.73,1775.28,25
M3000099,TX_San Miguel_6,Commercial,10,14.5967616,120.9993912,2140.77,2475.76,2431.42,2557.65,3253.39,3208.4,3162.1,1952.07,2045.47,2101.26,2134.71,2156.22,50
M3000100,TX_San Nicola_7,Residential,11,14.59959422,120.9680597,161.06,186.5,255.74,293.65,378.89,187.04,194.58,248.31,297.41,223.96,178.79,166.91,5
M3000101,TX_San Nicola_6,Residential,11,14.60333573,120.9687804,356.12,362.84,387.46,363.46,423.87,444.63,425.66,324.28,340.6,355.63,301.82,337.54,5
M3000102,TX_San Nicola_9,Residential,11,14.60368948,120.9729053,509.64,525.26,598.94,648.63,685,686.15,729.87,488.92,567.7,472.89,511.31,581.6,15
M3000103,TX_San Nicola_6,Residential,11,14.60076078,120.9698512,349.51,238.66,317.95,328.53,228.42,186.48,210.83,236.8,316.14,161.34,274.98,194.11,5
M3000104,TX_San Nicola_7,Commercial,11,14.60381526,120.968612,2135.96,2334.51,2148.86,1926.53,2319.35,2729.44,2465.83,1968.43,1788.04,1832.77,1776.65,2027.21,25
M3000105,TX_San Nicola_10,Residential,11,14.60230049,120.9736542,541.06,686.75,670.62,684.9,809.62,742.32,801.29,489.79,564.71,588.47,506.76,614.02,5
M3000106,TX_San Nicola_5,Industrial,11,14.60370201,120.9709517,12252.77,14028.29,13285.33,12247.35,13992,13525.22,16036.62,13002.02,10078.83,10239.16,11620.69,13274.04,300
M3000107,TX_San Nicola_10,Commercial,11,14.60285126,120.9673739,1874.81,2456.11,2342.42,2666.14,2510.86,2862.13,2865.91,1866.82,2283.42,2031.62,2146.33,1916.41,75
M3000108,TX_San Nicola_8,Residential,11,14.60165108,120.9698929,155.57,159.65,130.59,216.27,141.36,133.21,168.67,144.1,151.62,178.86,184.92,163.82,5
M3000109,TX_San Nicola_5,Residential,11,14.60429128,120.9704265,500.26,563.08,635.97,616.79,658.19,781.21,784.89,499.13,477.42,476.36,529.92,498.71,10
M3000110,TX_Santa Ana_1,Residential,12,14.57936801,121.0145722,498.52,605.64,549.39,597.29,559.39,616.76,613.59,527.94,419.54,410.77,475.77,444.41,5
M3000111,TX_Santa Ana_3,Commercial,12,14.57875116,121.0144796,1060.75,1336.95,1149.59,1306.84,1241.22,1367.56,1477.2,1146.13,1013.36,1060.34,865.95,991.94,50
M3000112,TX_Santa Ana_4,Residential,12,14.58144375,121.0133913,440.86,568.57,444.36,492.39,588.45,488.45,600.28,376.91,382.1,384.6,483.44,475.66,10
M3000113,TX_Santa Ana_5,Residential,12,14.57738636,121.0190165,279.51,273.41,325.94,333.02,381.79,304.26,350.94,286.46,232.93,230.68,287.1,300.54,15
M3000114,TX_Santa Ana_3,Commercial,12,14.58162868,121.0214944,2190.47,2441.81,2356.63,2052.07,2484.3,2233.68,2526.25,2223.09,2031.03,1746.33,1812.94,1782.85,100
M3000115,TX_Santa Ana_3,Residential,12,14.57697021,121.0162691,321.78,313.37,394.99,317.56,405.07,392.8,408.59,345.35,354.78,264.86,299.48,356.7,15
M3000116,TX_Santa Ana_1,Industrial,12,14.57839078,121.0161075,15601.61,15741.52,18303.48,18401.11,20726.34,17848.23,19926.6,14577.71,12594.43,14081.7,14968.59,16408.58,200
M3000117,TX_Santa Ana_2,Residential,12,14.58264549,121.0157622,266.28,304.14,264.11,291.41,283.71,302.27,356.27,270.92,246.61,255.8,266.77,288.77,15
M3000118,TX_Santa Ana_7,Residential,12,14.57730529,121.0151783,477.35,611.67,535.27,552.26,772.24,688.8,742.94,455.51,510.92,551.38,466.36,522.75,10
M3000119,TX_Santa Ana_7,Residential,12,14.5768195,121.0125986,411.97,438.03,493.71,407.71,443.98,580.98,435.92,444.92,415.97,369.22,412.34,448.8,5
M3000120,TX_Santa Cruz_8,Commercial,13,14.6173194,120.9808331,1990.72,2199.26,2804.7,2491.58,2837.13,3251.67,2714.27,2440.16,2490.68,2011.49,2189.64,2318.87,50
M3000121,TX_Santa Cruz_3,Residential,13,14.61812864,120.9827453,563.93,505.01,540.15,369.56,1009.72,828.57,535.6,544.05,688.27,434.6,473.9,657.51,5
M3000122,TX_Santa Cruz_8,Residential,13,14.6185671,120.979394,341.82,350.09,317.13,343.11,382,376.73,390.21,287.43,297.42,318.97,326.28,317.96,15
M3000123,TX_Santa Cruz_7,Residential,13,14.62080123,120.9792033,57.18,36.74,70.03,44.6,85.57,66.32,37.82,21.15,38.31,29.34,55.06,36.4,10
M3000124,TX_Santa Cruz_6,Commercial,13,14.61479377,120.9834269,2155.19,2348.28,2581.5,2888.41,2829.34,3246.45,3226.41,2019.85,2116.72,2274.72,2192.77,2017.47,50
M3000125,TX_Santa Cruz_6,Residential,13,14.6157794,120.9805392,636.56,595.23,631.65,662.82,676.96,618.27,712.25,556.91,460.31,474.86,492.97,542.94,10
M3000126,TX_Santa Cruz_9,Commercial,13,14.61867785,120.981718,2146.77,2156.98,2214.49,2036.13,2022.27,2466.09,2456.02,1585.67,1775.13,2019.23,1636.65,1867.96,75
M3000127,TX_Santa Cruz_7,Residential,13,14.61821456,120.9840463,301.38,372.4,376.66,381.92,405.98,360.57,432.91,358.14,360.47,326.17,271.31,294.21,10
M3000128,TX_Santa Cruz_5,Commercial,13,14.62066813,120.9823801,834.25,1069.78,980.68,1005.78,939.11,1051.74,992.3,901.1,728.78,795.85,827.11,851.81,100
M3000129,TX_Santa Cruz_4,Residential,13,14.61877936,120.9849068,311.16,216.55,355.49,281,297.87,347.95,287.99,275.85,229.43,249.94,204.07,313.01,5
M3000130,TX_Santa Mesa_4,Residential,14,14.60346863,121.0184871,229.53,231.15,264.28,220.94,270.47,266.79,193.37,139.69,148.92,192.48,193.72,241.13,10
M3000131,TX_Santa Mesa_3,Residential,14,14.60138192,121.0150499,296.78,277.22,298.26,283.43,289.83,318.62,323.13,282.52,239.24,243.39,273.97,286.48,15
M3000132,TX_Santa Mesa_7,Commercial,14,14.60168457,121.0184568,2462.95,2376.92,2778.67,2339.65,2832.64,3195.12,3175.62,2258.32,2020.79,1953.26,1864.38,2385.87,25
M3000133,TX_Santa Mesa_10,Residential,14,14.6027512,121.0146755,177.98,173.64,192.73,203.69,192.16,178.9,187.63,142.13,166.3,134.67,134.17,172.69,10
M3000134,TX_Santa Mesa_5,Residential,14,14.60230966,121.010885,283.37,302.01,260.58,323.51,337.68,317.18,288.72,246.99,219.96,239.38,237.85,274.41,10
M3000135,TX_Santa Mesa_9,Industrial,14,14.6057573,121.0101072,11707.08,13891.09,12533.29,14501.14,16834.1,17511.98,15570.06,12769.64,13305.27,13409.28,11692.19,11389.16,500
M3000136,TX_Santa Mesa_5,Residential,14,14.60451767,121.0156546,509.45,544.47,564.33,485.06,584.89,595.09,584.04,521.42,481.51,502.37,432.9,459.75,15
M3000137,TX_Santa Mesa_3,Commercial,14,14.60526941,121.0146482,2482.8,2710.93,2716.45,3154.67,3604.78,3111.1,3369.65,2221.81,2468.38,2864.57,2236.69,2975.03,25
M3000138,TX_Santa Mesa_2,Residential,14,14.60521059,121.0176675,124.04,130.03,170.42,104.73,62.54,126.04,161.81,53.06,47.55,81.99,97.84,155.04,10
M3000139,TX_Santa Mesa_10,Commercial,14,14.60291164,121.0161029,2776.43,2859.66,2846.14,2301.7,3049.97,2797.02,2911.18,2671.29,2045.32,2491.67,2106.59,2095.36,75
M3000140,TX_Binondo_9,Residential,15,14.59735897,120.9735856,156.08,155.09,180.86,181.23,178.04,189.56,226.08,154.5,153.19,165.57,166.32,177.4,5
M3000141,TX_Binondo_7,Residential,15,14.59969106,120.9751502,189.33,215.91,202.49,188.67,219.33,201.66,216.99,151.82,187.8,196.85,182.9,193.82,10
M3000142,TX_Binondo_2,Residential,15,14.59954641,120.978147,309.33,338.37,358.93,370.16,426.63,410.67,385.69,339.04,317.61,292.13,293.92,344.42,10
M3000143,TX_Binondo_2,Residential,15,14.59996321,120.9776821,293.29,287.27,337.64,290.32,401.32,361.09,386.22,231.94,253.93,284.99,278.41,254.35,10
M3000144,TX_Binondo_6,Residential,15,14.60175548,120.9745005,300.03,259.47,289.41,298.14,363.63,358.04,327.97,169.48,298.23,224.85,225.47,280.59,5
M3000145,TX_Binondo_5,Residential,15,14.59626129,120.9736031,440.38,501.52,466.39,537.39,562.81,516.91,515.94,417.95,474.24,378.64,409.4,417.66,5
M3000146,TX_Binondo_6,Industrial,15,14.596008,120.9732658,4332.65,17281,23533.13,17398.84,17788.76,8250.64,22876.87,7852.31,3749.76,19532.18,7612.71,16915.32,500
M3000147,TX_Binondo_3,Residential,15,14.59834866,120.9751256,461.25,387.82,405.98,469.75,447.57,536.98,589.34,435.54,401.77,437.32,346.07,406.09,10
M3000148,TX_Binondo_1,Residential,15,14.60027261,120.9758655,585.8,641.86,699.7,633.72,728.15,674.69,680.15,567.59,508.69,547.18,502.04,509.26,15
M3000149,TX_Binondo_4,Residential,15,14.59934022,120.9719355,249.05,282.17,332.26,285.79,368.04,305.2,290.18,276.68,258.33,255.41,237.69,234.09,10
M3000150,TX_Intramuros_7,Residential,16,14.58957227,120.9756244,24.23,66.72,66.8,65.76,79.26,36.38,59,37.87,61.36,56,23.05,41,10
M3000151,TX_Intramuros_1,Residential,16,14.58818778,120.9751802,576.94,573.94,559.57,559.03,610.15,625.74,657.33,542.42,493.88,531.5,532.32,508.19,15
M3000152,TX_Intramuros_9,Residential,16,14.58948526,120.9735793,601.89,507.77,633.92,641.79,583.06,615.55,704.51,546.54,478.43,449.31,522.62,558.6,15
M3000153,TX_Intramuros_10,Commercial,16,14.58950065,120.9784181,3305.48,3314.52,3418.99,3391.38,3768.45,3111.98,3479.12,2432.03,2597.99,2405.9,3111.83,2866.57,50
M3000154,TX_Intramuros_7,Commercial,16,14.58959608,120.9756775,1686.46,2167.6,2177.08,1931.24,2012.12,2133.35,2273.97,1604.09,1618.23,1723.73,2028.63,2024.25,50
M3000155,TX_Intramuros_3,Residential,16,14.5924284,120.9804522,302.56,286.51,275.48,280,319.37,304.34,377.52,229.46,283.47,247.01,236.66,243.44,10
M3000156,TX_Intramuros_7,Residential,16,14.58612428,120.976405,535.83,525.25,654.5,665.2,703.94,674.83,768.3,479.53,518.68,452.9,475.02,629.61,15
